Last Name,First Name,Full Name,Gender,Real Last,Real First,Alternate Names?,Branch,Branch1,Branch2,Branch3,Branch4,Branch5,Branch6,Branch7,Approx Dates in VT,VT Locations,Type of VT Connection,Connection Type Code,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Studied With,Studied With,Studied With,Studied With,Studied With,Studied With,Studied With,Studied At,Type,Language,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Third Location,Third Latitude,Third Longitude,Fourth Location,Fourth Latitude,Fourth Longitude,Fifth Location,Fifth Latitude,Fifth Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role
Blayfer,Yankev,Yankev Blayfer,m,,,"Jacob Bleifer, John Bleifer, Jake Bleifer",AA,AA,,,,,,,1921-1924,"WE, US",Actor,A,,,,,,,,,,,,,,,,,,,,,Mendl Elkin,Richard Boleslavsky,Max Reinhardt,,,,,Unzer teater studio,Theater school,Yiddish,"Bronx, New York",40.837049,-73.86543,Max Reinhardt Seminar,Theater school,German,Vienna,48.189588,16.312573,,,,,,,Unzer Teater,Actor,Yiddish,"Bronx, New York",40.844782,-73.864827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mendl Elkin,Performed with,Chaim Shniur,Performed with,Bela Belarina,Performed with,Joseph Green ,Performed with,Dovid Pinski,Performed with,Peretz Hirschbein,Performed with,H. Leivick,Performed with,Jacob Bergrin,Performed with,Boris Aronson,Designer,David Vardi,Performed with,Egon Brecher,Performed with,Elliot Gould,Performed with,Gene Wilder,Performed with,Harrison Ford,Performed with,Leo Fuchs,Performed with,Norman Jewison,Performed with,Sylvester Stallone,Performed with,Kevin Conway,Performed with,Sandra Dee,Performed with,Bobby Darin,Performed with,Kirk Douglas,Performed with,Alexander Azro,Performed with,Clark Gable,Performed with,Hedy Lamarr,Performed with,Tyrone Power,Performed with,Richard Boleslavsky,Performed with,Rudolph Schildkraut,Performed with,Wolf Barzel,Performed with,Maurice Schwartz,Performed with,Bertha Gersten,Performed with,Frida Vitalin,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bliakher,Shabsay,Shabsay Bliakher,m,,,,MVT,MVT,,,,,,,1931,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yiddish Acting Studio Vilna,Co-Founder,Yiddish,Vilna,54.687156,25.279651,,,,,,,,,,,,,YKTAV,Actor,Yiddish,Vilna,54.687156,25.279651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bela Daniel,"Co-Founder, Performed with",Avrom Slabodski,"Co-Founder, Performed with",Avrom Morevsky,Performed with,Moyshe Lipman,Performed with,Zygmunt Turkow,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blifeld,Yitzkhok,Yitzkhok Blifeld,m,,,Jacob Bliefeld,"AmRev, Bronx, AmRev2",AmRev,Bronx,AmRev2,,,,,"1926-1927, 1928-1929, 1929-1930",US,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A.Y. Kaminski,Performed with,Misha Fishzon,Performed with,Boris Thomashefsky,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blum,Avrom,Avrom Blum,m,,,Abraham Blum,AA,AA,,,,,,,1924-1925,US,Publicity Agent,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yale University,College/University,English,"New Haven, Connecticut",41.316324,-72.922343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Rumshinsky,Translator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blum,Lillian,Lillian Blum,f,,,,AmRev3,AmRev3,,,,,,,1936,US,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blumental,Frida,Frida Blumental,f,,,Frida Blumenthal,"O, MVT, AA",O,MVT,AA,,,,,1915-1920,"EE, Berlin",Actor,A,Hertz Grosbard,Wife,,,,,,,,,,,,,,,,,,,Peretz Hirschbein ,,,,,,,Vilna Yiddish drama club,Amateur club,Yiddish,Vilna,54.687156,25.279651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peretz Hirschbein,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolk,Zigmunt,Zigmunt Bolk,m,,,Balk,MVT,MVT,,,,,,,1927,Lviv,Designer,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dovid Herman,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brakazsh ,Khayim,Khayim Brakazsh ,m,,,"Haim Brakasch, Chaim Brakazsh",MVT,MVT,,,,,,,1920-1925 and 1927-29,"EE, Romania",Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braz,Khane,Khane Braz,f,,,Ana Braz,"MVT, AA",MVT,AA,,,,,,1919-1928,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riger yidishn meutim teater,Actor,Yiddish,Riga,56.949649,24.105186,,,,,,,,,,,,,Kharkov State Yiddish Theater,Actor,Yiddish,Kharkov,49.993501,36.230383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klara Segalovitch,Performed with,Alex Stein,Performed with,Avrom Morevsky,Performed with,Isaac Samberg,Performed with,Rivka Shiller,Performed with,Yankev Mandlblit,Performed with,Daniel Shapiro,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazili,, Brazili,m,,,,MVT,MVT,,,,,,,?,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breitman,Natan,Natan Breitman,m,,,"Natan Breitman, Nathan Brajtman",Stein,Stein,,,,,,,193?,WE,Actor,A,Paul Breitman,Brother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Jewish Dramatic Society,Actor,Yiddish,Cape Town,-33.924869,18.424055,,,,,,,,,,,,,Breitman-Teffner Yiddish Theater Company,Actor,Yiddish,Johannesburg,-26.204103,28.047305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hertz Grosbard,Performed with,Paul Breitman,Performed with,Lidia Pototska,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broderzon,Moyshe,Moyshe Broderzon,m,,,,MVT,MVT,,,,,,,1934,WE,Composer,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melokhishe Yidishe Miniatur-Teater,Director,Yiddish,Bialystok,53.132489,23.16884,,,,,,,,,,,,,Ararat,"Founder, Director",Yiddish,Lodz,51.759248,19.455983,,,,GOSET,Teacher,Yiddish,Moscow,55.755826,37.617301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shimon Dzigan,Performed with,Yisroel Shumacher,Performed with,Dovid Herman,Performed with,Henekh Kon,Director,Judith Berg,Director,Jacob Rotbaum,Director,Władysław Weintraub,Director,Yankev Reynglas,Director,Yoyel Bergman,Director,Yitzkhok Grudberg,Director,Ola Lilith,Director,Yankev Mansdorf,Director,Nokhum Melnik,Director,Moyshe Potashinski,Director,Nadia Kareni,Director,Tea Artsishevska,Director,Miriam Lipska-Mansdorf,Performed with,Zisl Gorlitska-Reynglas,Director,Pepi Urich,Director,Simkhe Vaynshtok,Director,Yitzkhok Broyner,"Director, Co-Founder, Performed with",Yoysef Shlivniak,Director,Henryk Berlewi,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromberg,Louis,Louis Bromberg,m,,,,AA,AA,,,,,,,1924,New York,Designer,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jewish Art Theater,Designer,Yiddish,New York ,40.718289,-73.991127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emanuel Reicher,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broyner,Yitzkhok,Yitzkhok Broyner,m,,,"Yitzkhok Brauner, Itshl Broyner, Y. Broyner, V. Broyner, Vincert Brauner",MVT,MVT,,,,,,,1920-192?,EE,Designer,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hochschule für Bildenden Künste,Art school,German,Berlin,52.51723,13.32265,,,,,,,,,,,,,Ararat,Designer,Yiddish,Lodz,51.759248,19.455983,,,,,,,,,,,,,Chad-Gadyo,Designer,Yiddish,Lodz,51.759248,19.455983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moyshe Broderzon,"Designer, Co-Founde",Henekh Kon,"Designer, Co-Founder, Performed with",Yoysef Shlivniak,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buloff,Joseph,Joseph Buloff,m,,,Yoysef Bulov,"O, MVT, Bronx, AmRev2",O,MVT,Bronx,AmRev2,,,,"1920-1926, 1928-30, 1932-1933","EE, US",Actor,A,Luba Kadison,Husband,Leib Kadison,Son-in-law,Khane Kadison,Son-in-law,Itzik Kadison,Brother-in-law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yiddish Art Theater,Actor,Yiddish,New York ,40.730929,-73.986157,,,,,,,,,,,,,Chicago Dramatishe Gezelshaft,Artistic Director,Yiddish,Chicago,41.878114,-87.629798,,,,Yiddish Dramatic Players,Actor,Yiddish,New York ,40.718289,-73.991127,Folksbiene,Director,Yiddish,New York ,40.718289,-73.991127,Artef ,Director,Yiddish,New York ,40.754274,-73.984866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maurice Schwartz,Performed with,Celia Adler,Performed with,Stella Adler,Performed with,Leib Kadison,Performed with,Luba Kadison,Performed with,Yankev Mestel,Performed with,Leslie Goodwins,Performed with,Rita Hayworth,Performed with,Luther Adler,Performed with,Edgar G. Ulmer,Performed with,Jascha Heifetz,Performed with,John Banner,Performed with,Delmar Daves,Performed with,Maria Ouspenskaya,Performed with,Fyvush Finkel,Performed with,Menasha Skulnik,Performed with,Leo Fuchs,Performed with,Seymour Rexite,Performed with,Paul Newman,Performed with,Fred Astaire,Performed with,Cyd Charisse,Performed with,Warren Beatty,Performed with,Diane Keaton,Performed with,Jack Nicholson,Performed with,Gene Hackman,Performed with,Arthur Hopkins,Performed with,Howard Da Silva,Performed with,Paul Baratoff,Performed with,Baruch Lumet,Performed with,Boris Aronson,Performed with,Avrom Taytlboym,Performed with,Miriam Kressyn,Director,Anne Meacham,Performed with,Walter Matthau,Performed with,Helen Hayes,Director,Harold Clurman,Performed with,Sanford Meisner,Performed with,Uta Hagen,Performed with,Agnes De Mille,Performed with,Guthrie McClintic,Performed with,Morris Carnovsky,Performed with,Sidney Lumet,Performed with,Molly Picon,Performed with,Avrom Morevsky,Performed with,Alex Stein,Performed with,Yosef Kamen,Performed with,Simkhe Natan,Performed with,Yankev Kurlender,Performed with,Yankev Mansdorf,Performed with,Chaim Shniur,Performed with,Leonid Sniegov,Performed with,Mordechai Yachson,Performed with,Benjamin Fishbein,Director,Alex Chertov,Director,Charles Adler,Performed with
Buzgan,Khavel,Khavel Buzgan,m,,Khayim,"Chevel Buzgan, Chewel Buzgan","MVT, WBS",MVT,WBS,,,,,,"1921-1923, 1926-1927, 192?-1930, 1933","EE, WE, US","Actor, Director, Prompter","A, D",Rivka Shiller,Husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nayer yidisher teater,Actor,Yiddish,Riga,56.949649,24.105186,,,,,,,,,,,,,VYKT,Actor,Yiddish,Warsaw ,52.229676,21.012229,,,,Polish State Yiddish Theater,Actor,Yiddish,Warsaw,52.229676,21.012229,"Yiddish Folk Theater, Lviv",Actor,Yiddish,Lviv,49.839683,24.029717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ida Kaminska,Performed with,Avrom Morevsky,Performed with,Dina Halpern,Performed with,Rokhl Holtzer,Performed with,Shimon Dzigan,Performed with,Yisroel Shumacher,Performed with,Ruth Turkow,Performed with,Klara Segalovitch,Performed with,Isaac Samberg,Performed with,Henekh Kon,Performed with,Gershon Lemberger,Performed with,Ester-Rokhl Kaminska,Performed with,Zygmunt Turkow,Performed with,Avrom Morevsky,Performed with,Nokhum Lipovski,Performed with,Lidia Pototska,Performed with,Julius Adler,Performed with,Paul Baratoff,Performed with,Yankev Kurlender,Performed with,Yitskhok Dogim,Performed with,Liza Schlossberg,Performed with,Simkhe Natan,Performed with,Naomi Natan,Performed with,Rivka Shiller,Performed with,Yankev Kurlender,Performed with,Daniel Shapiro,Performed with,Frida Vitalin,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chertov,Alex,Alex Chertov,m,,Alexander,Alex Chertoff,AmRev3,AmRev3,,,,,,,1936,New York,Set Designer,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yiddish Art Theater,Designer,Yiddish,New York ,40.730929,-73.986157,,,,,,,,,,,,,Second Avenue Theater,Designer,Yiddish,New York ,40.730953,-73.985976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Rotbaum,Designer,Ben Tsion Shoenfeld,Designer,Maurice Schwartz,Designer,Lucy German,Designer,Luba Kadison,Designer,Misha Fishzon,Designer,Misha German,Designer,Avrom Taytlboym,Designer,Shloyme Krause,Designer,Ben Tsion Katz,Designer,Celia Adler,Designer,Joseph Buloff,Designer,Bertha Gersten,Designer,Jenny Goldstein,Designer,Molly Picon,Designer,Ida Garber,Designer,Leah Naomi,Designer,Charlotte Goldstein Safran,Designer,Helen Zelinskaya,Designer,Boris Aronson,Technical Director,Paul Baratoff,Technical Director,Julius Adler,Designer,Reuven Vendorf,Designer,Leola Vendorf,Designer,Benjamin Fishbein,Designer,Mordecai Gorelik,Set Painter,Joseph Green,Set Painter,Avrom Morevsky,Set Painter,Noah Nachbush,Designer,Louis Weisberg,Designer,Boris Glagolin,Designer,Mark Schweid,Designer,Gustav Schacht,Designer,Charlotte Goldstein Chafran,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalska,Betty,Betty Dalska,f,Bratslavska,,"Beti Dalska, Beti Dalsko","MVT, AA",MVT,AA,,,,,,192?-1924,"EE, WE, US",Actor,A,Wolf Zilberberg,Wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hirschbein Troupe,Actor,Yiddish,Odessa,46.482526,30.723311,Warsaw,52.229676,21.012229,,,,,,,,,,Unzer vinkl,Actor,Yiddish,Kharkov,49.993511,36.230383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Ben-Ami,Performed with,Leah Naomi,Performed with,Peretz Hirschbein,Performed with,Zygmunt Turkow,Performed with,Ester-Rokhl Kaminska,Performed with,Roza Birnboym,Performed with,Ida Kaminska,Performed with,Wolf Zilberberg,Performed with,Misha Fishzon,Performed with,Rose Shoshana,Performed with,Reuven Vendorf,Performed with,Leyzer Zhelazo,Performed with,Slava Estrin,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel,Bela,Bela Daniel,f,,Yitzkhok,Yitzkhok Daniel,MVT,MVT,,,,,,,1924,Romania,Director,Dir,,,,,,,,,,,,,,,,,,,,,Max Reinhardt,,,,,,,Max Reinhardt Seminar,Theater school ,German,Berlin,52.520007,13.404954,,,,,,,,,,,,,Yiddish Acting Studio Vilna,Co-Founder,Yiddish,Vilna,54.687156,25.279651,,,,,,,,,,,,,Teatron Emunahti,Director,Hebrew,Tel Aviv,32.085301,34.781768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shabsay Bliakher,"Co-Founder, Performed with",Avrom Slabodski,Co-Founder,Avrom Slabodski,Performed with,Teatron Emunahti,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davidov,B.,B. Davidov,m,,,,Bronx,Bronx,,,,,,,1928-1929,US,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denk,Dovid,Dovid Denk,m,,,,Bronx,Bronx,,,,,,,1928-1929,US,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celia Adler,Performed with,Maurice Schwartz,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deutsch,Isaac,Isaac Deutsch,m,Solomianik,Yitzkhok,"Isak Deutsch, Yitzkhok Daytsh, Itzhak Deytsh",Stein,Stein,,,,,,,193?,"Vienna, Berlin",Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freie Jüdische Volksbühne,"Founder, Actor, Director",Yiddish,Vienna,48.189588,16.312573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egon Brecher,"Performed with, Co-founder",Lea Weintraub-Graf,"Performed with, Co-founder",Mina Deutsch,"Performed with, Co-founder",Paul Breitman,Performed with,Simkhe Natan,Performed with,Klara Meisels,Performed with,Ben-Tsiyon Segal,Performed with,Hanoch Mayer,Performed with,Naomi Natan,Performed with,Shmuel Iris,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deutsch,Mina,Mina Deutsch,f,Menkes,,"Mini Deutsch, Mini Deytsh",Stein,Stein,,,,,,,193?,Prague,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freie Jüdische Volksbühne,"Founder, Actor",Yiddish,Vienna,48.189588,16.312573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul Baratoff,Performed with,Egon Brecher,"Performed with, Co-founder",Lea Weintraub-Graf,"Performed with, Co-founder",Isaac Deutsch,"Performed with, Co-founder",Paul Breitman,Performed with,Simkhe Natan,Performed with,Klara Meisels,Performed with,Ben-Tsiyon Segal,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dogim,Yitskhok,Yitskhok Dogim,m,,,,MVT,MVT,,,,,,,1931-1932,"WE, EE",Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unzer teater (Vilna),Actor,Yiddish,Vilna,54.687156,25.279651,,,,,,,,,,,,,Gdansk Jewish Theater Collective,Actor,Yiddish,Gdańsk,54.352025,18.646638,,,,Vilner yidish folks teater,"Founder, Director",Yiddish,Vilna,54.687156,25.279651,Polish State Yiddish Theater,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isaac Samberg,Performed with,Zygmunt Turkow,Performed with,Avrom Morevsky,Performed with,Yonas Turkow,Performed with,Dina Halpern,Performed with,Ida Kaminska,Performed with,Paul Breitman,Performed with,Khavel Buzgan,Performed with,Mordechai Yachson,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domb,Adam,Adam Domb,m,,,,"MVT, Stein",MVT,Stein,,,,,,1927-1932,"Berlin, Poland, Romania, Lithuania, Latvia, Vienna, EE",Actor,A,Sonia Altboym,Husband,,,,,,,,,,,,,,,,,,,,,,,,,,Amateur Russian theater club,Amateur club,Russian,?,?,?,,,,,,,,,,,,,VYKT,Actor,Yiddish,Warsaw ,52.229676,21.012229,,,,,,,,,,,,,Russian Theater in Astrakhan,Actor,Russian,Astrakhan,46.323611,48.036667,,,,Lemburg Melukhe Teater,Actor,Yiddish,Lviv,49.839683,24.029717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zygmunt Turkow,Performed with,Yonas Turkow,Performed with,Ester-Rokhl Kaminska,Performed with,Ida Kaminska,Performed with,Władysław Godik,Performed with,Diana Blumenfeld,Performed With,Ruth Turkow,Performed with,Joseph Green,Performed with,Molly Picon,Performed with,Shimon Dzigan,Performed with,Yisroel Shumacher,Performed with,Alter Kacyzne,Performed with,Sonia Altboym,Performed with,Moyshe Lipman,Performed with,Yonas Turkow,Performed with,Henrik Tarlo,Performed with,Israel Kamay,Performed with,Yoyel Bergman,Performed with,Meir Melman,Performed with,Alex Stein,Performed with,Klara Segalovitch,Performed with,Sonia Altboym,Performed with,Zalmen Hirshfeld,Performed with,Yankev Mandlblit,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
